estimate	error	lower	upper	sample_names	name	model
62.0408381563646	0.204125227473018	62.0078929214895	62.2112975553442	L1S105	breakaway	Poisson
61.0055569708958	0.0747215881271064	61.0010837871872	61.0284926098978	L1S140	breakaway	Poisson
82.0186535359911	0.137166757054438	82.0036297432277	82.0958619888901	L1S208	breakaway	Poisson
80.1688681128857	0.422228577319175	80.0319854599999	80.8915438311547	L1S257	breakaway	Poisson
72.0462753167404	0.21788060188836	72.0089151247392	72.2401991000767	L1S281	breakaway	Poisson
69.0055569708958	0.0747215881271064	69.0010837871872	69.0284926098978	L1S57	breakaway	Poisson
56.0130378115092	0.114671254176027	56.0025371046078	56.0669994167474	L1S76	breakaway	Poisson
44.0318755457291	0.180668845679705	44.0061474581487	44.1652797613187	L1S8	breakaway	Poisson
108.131250800943	0.365568230126791	108.02539803778	108.678271797896	L2S155	breakaway	Poisson
103.113728323198	0.340365187892628	103.022001722239	103.587869047563	L2S175	breakaway	Poisson
87.1711024036477	0.420324725850859	87.0328370630609	87.8915545364006	L2S204	breakaway	Poisson
137.191140414306	0.443299578691738	137.036776194877	137.993432248873	L2S222	breakaway	Poisson
46.0630281696445	0.254339059971181	46.0121392654957	46.3272479846604	L2S240	breakaway	Poisson
58.1294947401682	0.365429792968479	58.0248708221911	58.6742393798801	L2S309	breakaway	Poisson
50.0080610693065	0.0899898261508403	50.0015722942247	50.0413286758574	L2S357	breakaway	Poisson
124.074457026686	0.274734630883088	124.014445504918	124.383776742611	L2S382	breakaway	Poisson
20.0151368615237	0.124127700667648	20.0029296296024	20.078209401149	L3S242	breakaway	Poisson
40.0294069666851	0.172644700054247	40.0057057863647	40.1515601241186	L3S294	breakaway	Poisson
46.0819729910976	0.290026198339078	46.015789934424	46.4255604291342	L3S313	breakaway	Poisson
45.055501825587	0.237686450885342	45.0107419752086	45.2867678042132	L3S341	breakaway	Poisson
54.0474862566611	0.219430447477442	54.0092115608106	54.2447950589533	L3S360	breakaway	Poisson
29.0342332677874	0.187167572943494	29.0066048218882	29.1774334937791	L3S378	breakaway	Poisson
157.222154411568	0.477096798812037	157.042829772809	158.152296156213	L4S112	breakaway	Poisson
142.081385782765	0.28753797527068	142.015770031936	142.420014725584	L4S137	breakaway	Poisson
225.280714478124	0.535440063730775	225.054222915151	226.453271518298	L4S63	breakaway	Poisson
25.0083341878114	0.0916678329248442	25.0016220931389	25.0428204058142	L5S104	breakaway	Poisson
21.0064302126983	0.0804843741859191	21.0012521533397	21.0330212235466	L5S155	breakaway	Poisson
28.0175131972862	0.133127448102154	28.0034012258024	28.0901769235569	L5S174	breakaway	Poisson
29.1654971115916	0.431251686028561	29.0302030637332	29.906838266048	L5S203	breakaway	Poisson
27.0114411547496	0.107616650591211	27.0022216188361	27.0589210083566	L5S222	breakaway	Poisson
23.025197231264	0.160930849991544	23.0048488172263	23.1309392443014	L5S240	breakaway	Poisson
46.0333750178848	0.18406797532486	46.0064697358978	46.1721695964726	L6S20	breakaway	Poisson
43.0433333117695	0.210251136821156	43.0083759923545	43.2241854850666	L6S68	breakaway	Poisson
51.0328496280116	0.182760580326135	51.0063618412575	51.1696204002623	L6S93	breakaway	Poisson
